Date,Open,High,Low,Close,Volume,NASDAQ,Change
08-12-2015,29.379999,29.65,29.215,29.557501,137238000,4694.77002,-0.012499
09-12-2015,29.41,29.422501,28.77,28.905001,185445600,4622.140137,-0.6525
10-12-2015,29.01,29.235001,28.877501,29.0425,116850800,4643.049805,0.137499
11-12-2015,28.797501,28.8475,28.2125,28.295,187544800,4537.560059,-0.7475
14-12-2015,28.045,28.17,27.4475,28.120001,257274800,4570.160156,-0.174999
15-12-2015,27.985001,28.200001,27.5875,27.622499,213292400,4597.330078,-0.497502
16-12-2015,27.7675,27.997499,27.200001,27.834999,224954000,4664.560059,0.2125
17-12-2015,28.004999,28.0625,27.245001,27.245001,179091200,4598.140137,-0.589998
18-12-2015,27.227501,27.379999,26.452499,26.5075,385813200,4514.830078,-0.737501
21-12-2015,26.82,26.842501,26.3925,26.8325,190362400,4560.549805,0.325
22-12-2015,26.85,26.93,26.612499,26.807501,131157600,4589.259766,-0.024999
23-12-2015,26.817499,27.2125,26.799999,27.1525,130629600,4624.589844,0.344999
24-12-2015,27.25,27.25,26.987499,27.0075,54281600,4622.77002,-0.145
28-12-2015,26.897499,26.922501,26.545,26.705,106816800,4621.350098,-0.3025
29-12-2015,26.74,27.3575,26.715,27.184999,123724800,4691.080078,0.479999
30-12-2015,27.145,27.174999,26.795,26.83,100855200,4652.009766,-0.354999
31-12-2015,26.752501,26.7575,26.205,26.315001,163649200,4593.27002,-0.514999
04-01-2016,25.6525,26.342501,25.5,26.3375,270597600,4497.859863,0.022499
05-01-2016,26.4375,26.4625,25.602501,25.6775,223164000,4484.180176,-0.66
06-01-2016,25.139999,25.592501,24.967501,25.174999,273829600,4443.990234,-0.502501
07-01-2016,24.67,25.032499,24.1075,24.112499,324377600,4305.720215,-1.0625
08-01-2016,24.637501,24.7775,24.190001,24.24,283192000,4270.779785,0.127501
11-01-2016,24.7425,24.764999,24.334999,24.6325,198957600,4283.549805,0.3925
12-01-2016,25.137501,25.172501,24.709999,24.99,196616800,4333.720215,0.3575
13-01-2016,25.08,25.297501,24.325001,24.3475,249758400,4183.120117,-0.6425
14-01-2016,24.49,25.120001,23.934999,24.879999,252680400,4272.970215,0.532499
15-01-2016,24.049999,24.4275,23.84,24.282499,319335600,4141.080078,-0.5975
19-01-2016,24.602501,24.6625,23.875,24.165001,212350800,4147.069824,-0.117498
20-01-2016,23.775,24.547501,23.355,24.1975,289337600,4136.279785,0.032499
21-01-2016,24.264999,24.469999,23.735001,24.075001,208646000,4142.600098,-0.122499
22-01-2016,24.657499,25.365,24.592501,25.355,263202000,4259.77002,1.279999
25-01-2016,25.379999,25.3825,24.8025,24.860001,207178000,4196.529785,-0.494999
26-01-2016,24.9825,25.219999,24.5175,24.997499,300308000,4233.850098,0.137498
27-01-2016,24.01,24.157499,23.334999,23.355,533478800,4128.859863,-1.642499
28-01-2016,23.4475,23.629999,23.0975,23.522499,222715200,4186.060059,0.167499
29-01-2016,23.6975,24.334999,23.5875,24.334999,257666000,4279.169922,0.8125
01-02-2016,24.1175,24.1775,23.85,24.1075,163774000,4286.560059,-0.227499
02-02-2016,23.855,24.01,23.57,23.620001,149428800,4193.100098,-0.487499
03-02-2016,23.75,24.209999,23.52,24.0875,183857200,4171.970215,0.467499
04-02-2016,23.965,24.3325,23.797501,24.15,185886800,4167.77002,0.0625
05-02-2016,24.129999,24.23,23.422501,23.504999,185672400,4024.469971,-0.645001
08-02-2016,23.282499,23.924999,23.26,23.752501,216085600,3960.669922,0.247502
09-02-2016,23.5725,23.985001,23.4825,23.747499,177324800,3947.800049,-0.005002
10-02-2016,23.98,24.0875,23.525,23.567499,169374400,3966.280029,-0.18
11-02-2016,23.4475,23.68,23.147499,23.424999,200298800,3962.219971,-0.1425
12-02-2016,23.547501,23.625,23.252501,23.497499,161405600,4019.189941,0.0725
16-02-2016,23.754999,24.2125,23.6525,24.16,196231600,4104.330078,0.662501
17-02-2016,24.1675,24.5525,24.0375,24.530001,179452800,4199.100098,0.370001
18-02-2016,24.709999,24.7225,24.022499,24.065001,156084000,4151.490234,-0.465
19-02-2016,24,24.190001,23.950001,24.01,141496800,4164.089844,-0.055001
22-02-2016,24.077499,24.225,23.98,24.219999,137123200,4231.27002,0.209999
23-02-2016,24.1,24.125,23.637501,23.672501,127770400,4162.540039,-0.547498
24-02-2016,23.495001,24.094999,23.33,24.025,145022800,4200.660156,0.352499
25-02-2016,24.012501,24.190001,23.8125,24.190001,110330800,4241.060059,0.165001
26-02-2016,24.299999,24.504999,24.145,24.227501,115964400,4235.620117,0.0375
29-02-2016,24.215,24.557501,24.1625,24.172501,140865200,4201.120117,-0.055
01-03-2016,24.4125,25.192499,24.355,25.1325,201628400,4333.609863,0.959999
02-03-2016,25.127501,25.2225,24.91,25.1875,132678400,4334.390137,0.055
03-03-2016,25.145,25.4275,25.112499,25.375,147822800,4325.859863,0.1875
04-03-2016,25.592501,25.9375,25.342501,25.752501,184220400,4329,0.377501
07-03-2016,25.5975,25.7075,25.24,25.467501,143315600,4303.330078,-0.285
08-03-2016,25.195,25.440001,25.1,25.2575,126247600,4265.509766,-0.210001
09-03-2016,25.327499,25.395,25.067499,25.280001,108806800,4293.22998,0.022501
10-03-2016,25.352501,25.559999,25.0375,25.2925,134054400,4286.970215,0.012499
11-03-2016,25.559999,25.57,25.375,25.565001,109632800,4361.830078,0.272501
14-03-2016,25.477501,25.727501,25.445,25.629999,100304400,4367.330078,0.064998
15-03-2016,25.99,26.295,25.9625,26.145,160270800,4367.080078,0.515001
16-03-2016,26.1525,26.577499,26.147499,26.4925,153214000,4404.200195,0.3475
17-03-2016,26.379999,26.6175,26.24,26.450001,137682800,4400.259766,-0.042499
18-03-2016,26.584999,26.625,26.297501,26.48,176820800,4410.830078,0.029999
21-03-2016,26.4825,26.9125,26.285,26.477501,142010800,4426.97998,-0.002499
22-03-2016,26.3125,26.8225,26.3025,26.68,129777600,4437.620117,0.202499
23-03-2016,26.620001,26.7675,26.475,26.532499,102814000,4402.560059,-0.147501
24-03-2016,26.3675,26.5625,26.2225,26.4175,104532000,4405.529785,-0.114999
28-03-2016,26.5,26.547501,26.264999,26.297501,77645600,4398.069824,-0.119999
29-03-2016,26.2225,26.9475,26.219999,26.92,124760400,4467.720215,0.622499
30-03-2016,27.1625,27.605,27.15,27.389999,182404400,4490.879883,0.469999
31-03-2016,27.43,27.475,27.219999,27.247499,103553600,4483.660156,-0.1425
01-04-2016,27.195,27.5,27.049999,27.497499,103496000,4532.080078,0.25
04-04-2016,27.605,28.047501,27.567499,27.780001,149424800,4511.700195,0.282502
05-04-2016,27.377501,27.682501,27.355,27.452499,106314800,4470.75,-0.327502
06-04-2016,27.557501,27.745001,27.299999,27.74,105616400,4543.779785,0.287501
07-04-2016,27.487499,27.605,27.030001,27.135,127207600,4475.290039,-0.605
08-04-2016,27.227501,27.442499,27.0425,27.165001,94326800,4474.930176,0.030001
11-04-2016,27.2425,27.6525,27.2075,27.254999,117630000,4458.709961,0.089998
12-04-2016,27.334999,27.625,27.165001,27.610001,108929200,4496.040039,0.355002
13-04-2016,27.700001,28.084999,27.700001,28.01,133029200,4554.720215,0.399999
14-04-2016,27.905001,28.0975,27.8325,28.025,101895600,4554.629883,0.015
15-04-2016,28.0275,28.075001,27.432501,27.4625,187756000,4543.160156,-0.5625
18-04-2016,27.2225,27.237499,26.735001,26.870001,243286000,4569.310059,-0.592499
19-04-2016,26.969999,27,26.557501,26.727501,129539600,4537.089844,-0.1425
20-04-2016,26.66,27.022499,26.514999,26.782499,122444000,4540.439941,0.054998
21-04-2016,26.7325,26.7325,26.379999,26.4925,126210000,4540.799805,-0.289999
22-04-2016,26.252501,26.620001,26.155001,26.42,134732400,4474.189941,-0.0725
25-04-2016,26.25,26.4125,26.127501,26.27,112126400,4474.129883,-0.15
26-04-2016,25.977501,26.325001,25.977501,26.0875,224064800,4452.970215,-0.1825
27-04-2016,24,24.6775,23.92,24.455,458408400,4416.629883,-1.6325
28-04-2016,24.4025,24.469999,23.5625,23.7075,328970800,4363.990234,-0.7475
29-04-2016,23.497499,23.68,23.127501,23.434999,274126000,4341.299805,-0.272501
02-05-2016,23.4925,23.52,23.1,23.41,192640400,4381.299805,-0.024999
03-05-2016,23.549999,23.934999,23.42,23.795,227325200,4341.390137,0.385
04-05-2016,23.799999,23.975,23.455,23.547501,164102000,4312.009766,-0.247499
05-05-2016,23.5,23.5175,23.17,23.309999,143562000,4309.47998,-0.237502
06-05-2016,23.342501,23.362499,22.9625,23.18,174799600,4330.169922,-0.129999
09-05-2016,23.25,23.442499,23.147499,23.1975,131745600,4341.22998,0.0175
10-05-2016,23.3325,23.3925,23.0275,23.355,134747200,4402.040039,0.1575
11-05-2016,23.370001,23.3925,23.115,23.127501,114876400,4361.029785,-0.227499
12-05-2016,23.18,23.195,22.3675,22.584999,305258800,4342.810059,-0.542502
13-05-2016,22.5,22.9175,22.5,22.629999,177571200,4326.529785,0.045
16-05-2016,23.0975,23.5975,22.9125,23.469999,245039200,4380.47998,0.84
17-05-2016,23.637501,23.674999,23.252501,23.372499,187667600,4322.560059,-0.0975
18-05-2016,23.540001,23.8025,23.4725,23.639999,168249600,4338.22998,0.2675
19-05-2016,23.66,23.66,23.3925,23.549999,121768400,4315.580078,-0.09
20-05-2016,23.66,23.8575,23.629999,23.805,128104000,4362.899902,0.255001
23-05-2016,23.967501,24.297501,23.9175,24.1075,152074400,4355.100098,0.3025
24-05-2016,24.305,24.522499,24.209999,24.475,140560800,4444.299805,0.3675
