Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
12-06-2015,21.5625,21.618,21.413,21.496,41088000,6,-0.1525,4453.790039
15-06-2015,21.382999,21.4025,21.132,21.1835,41020000,2,-0.3125,4432.919922
16-06-2015,21.2075,21.3985,21.133499,21.363001,45928000,3,0.179501,4455.899902
17-06-2015,21.417999,21.567499,21.237499,21.390499,43718000,4,0.027498,4468.97998
18-06-2015,21.514999,21.9865,21.470501,21.9695,67568000,5,0.579001,4531.850098
19-06-2015,22.013,22.2495,21.662001,21.746,89902000,6,-0.2235,4513.419922
22-06-2015,21.85,21.962,21.709,21.814501,36472000,2,0.068501,4544.040039
23-06-2015,21.779499,22.351999,21.6845,22.2995,64900000,3,0.484999,4548.740234
24-06-2015,22.248501,22.3235,22.011499,22.042,52416000,4,-0.2575,4524.600098
25-06-2015,21.9035,22.1735,21.8195,22.004999,44750000,5,-0.037001,4514.009766
26-06-2015,22.087999,22.1745,21.753,21.905001,52490000,6,-0.099998,4484.279785
29-06-2015,21.749001,21.85,21.450001,21.493,55064000,2,-0.412001,4379.870117
30-06-2015,21.709999,21.7785,21.523001,21.7045,51938000,3,0.2115,4396.759766
01-07-2015,21.967501,22,21.778999,21.869499,39742000,4,0.164999,4429.22998
02-07-2015,21.85,21.91,21.674,21.8855,26868000,5,0.016001,4433.390137
06-07-2015,21.761499,21.9865,21.676001,21.802,38064000,2,-0.0835,4418.660156
07-07-2015,21.784,21.886499,21.2785,21.836,69084000,3,0.034,4429.060059
08-07-2015,21.717501,21.7995,21.4415,21.485001,47662000,4,-0.350999,4351.580078
09-07-2015,21.745001,21.936001,21.7075,21.7195,45428000,5,0.234499,4352.029785
10-07-2015,22.0245,22.236,21.950001,22.175501,48020000,6,0.456001,4420.149902
13-07-2015,22.414499,22.893499,22.377001,22.7785,79136000,2,0.602999,4494.470215
14-07-2015,23.115999,23.48,22.908001,23.2785,94724000,3,0.5,4523.470215
